TIPO_ID;ID;COD_CIIU;SECTOR_CIIU;MACROSECTOR;COLOR_SECTOR;OFICINA_ASIGNACION;UBICACION;FECHA_REVISION_PC;FAMILIA;SINO_ROTATIVA;MONEDA; FAMILIA_APROBADO ; FAMILIA_UTILIZADO ; DISPONIBLE ; SALDO_CAPITAL ; VENTAS 2020 ; VENTAS 2021 ;NIVEL DE CONFIANZA;CALIFICACIÓN_DE RIESG;CLAS_EMPRESA
C;26;4774;QUIMICOS Y AGROQUIMICOS (PRODUCCION Y COMERCIALIZACION);INDUSTRIA;Verde;526;Quimbaya;31/03/2019;OP.PLAZO;SI;COP; $ - ; $ - ; $ - ;; $ 287.387.722 ; $ 167.697.950 ;ALTO;3,55;CORPORATIVO
C;27;4752;COMERCIO EN GENERAL AL POR MAYOR;COMERCIO;Verde;646;Yopal;30/04/2019;CAMPAÑA_COMERCIA;SI;COP; $ 13.296.284 ; $ - ; $ 13.296.284 ;; $ 73.461.883 ; $ 78.904.101 ;ALTO;4,36;CORPORATIVO
C;28;3250;EQUIPO MEDICO Y DE PRECISION (PRODUCCION Y COMERCIALIZACION);OTROS;Verde;912;Pereira;30/04/2019;OP.PLAZO;NO;COP; $ 49.704.000 ; $ 60.624.487 ; $ - ; $ 5.034.949 ; $ 1.516.000 ; $ 1.591.800 ;BAJO;0,56;CORPORATIVO
C;29;150;AUTOPARTES (PRODUCCION Y COMERCIALIZACION);OTROS;Amarillo;149;Villapinzon;30/04/2019;OP.PLAZO;SI;COP; $ 150.000.000 ; $ - ; $ 76.605.861 ;; $ - ; $ 23.491.604 ;MEDIO;4,09;CORPORATIVO
N;31;9521;SERVICIOS DE REPARACION Y MANTENIMIENTO;SERVICIOS;Amarillo;1291;Bogota, D.C.;31/05/2019;OP.PLAZO;SI;COP; $ 30.000.000 ; $ - ; $ 30.000.000 ;; $ 45.231.500 ; $ 59.280.170 ;ALTO;4,89;CORPORATIVO
C;32;7410;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;520;Popayan;30/06/2019;CAPITAL_TRABAJO;SI;COP; $ 305.000.000 ; $ - ; $ 254.999.992 ;; $ 11.010.790 ; $ 11.354.640 ;ALTO;5,40;CORPORATIVO
N;34;2100;LABORATORIOS FARMACEUTICOS;INDUSTRIA;Verde;1290;Bogota, D.C.;30/06/2019;OP.PLAZO;SI;COP; $ 50.000.000 ; $ - ; $ 50.000.000 ;; $ 149.816.402 ; $ 208.075.004 ;ALTO;5,52;CORPORATIVO
C;35;10;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;439;Santa Marta;30/09/2019;OP.PLAZO;NO;COP; $ - ; $ 150.000.000 ; $ - ;; $ 213.913.172 ; $ 417.555.237 ;ALTO;5,56;CORPORATIVO
N;36;4530;AUTOPARTES (PRODUCCION Y COMERCIALIZACION);OTROS;Amarillo;1202;Medellin;30/06/2019;OP.PLAZO;NO;COP; $ 160.517.000 ; $ 160.517.000 ; $ - ; $ 32.274.145 ; $ 70.617.610 ; $ 96.111.867 ;ALTO;5,32;CORPORATIVO
N;39;1410;CONFECCIONES;OTROS;Naranja1;1321;Bogota, D.C.;31/12/2019;CAPITAL_TRABAJO;SI;COP; $ 120.000.000 ; $ 15.000.000 ; $ 94.659.715 ; $ 10.217.286 ; $ 195.363.500 ; $ 372.016.030 ;ALTO;4,86;CORPORATIVO
C;40;7490;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;138;Armenia;31/10/2019;OP.PLAZO;SI;COP; $ 120.000.000 ; $ - ; $ 112.350.000 ;; $ 443.314.729 ; $ 102.593.789 ;ALTO;3,65;CORPORATIVO
N;41;4772;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;1763;Bogota, D.C.;31/05/2019;CAPITAL_TRABAJO;SI;COP; $ - ; $ - ; $ - ;; $ 90.088.100 ; $ 818.841.801 ;ALTO;4,87;CORPORATIVO
C;42;4520;AUTOPARTES (PRODUCCION Y COMERCIALIZACION);OTROS;Amarillo;137;Arauca;31/01/2020;OP.PLAZO;NO;COP; $ 158.000.000 ; $ 200.000.000 ;-$ 42.000.000 ; $ 123.333.334 ; $ 27.127.500 ; $ 21.708.300 ;ALTO;5,24;CORPORATIVO
N;43;4664;QUIMICOS Y AGROQUIMICOS (PRODUCCION Y COMERCIALIZACION);INDUSTRIA;Verde;942;Rionegro;31/01/2020;CAMPAÑA_COMERCIA;NO;COP; $ 13.416.650 ; $ 7.034.863 ; $ 6.381.787 ;; $ 688.895.866 ; $ 1.155.850.525 ;ALTO;5,53;CORPORATIVO
N;44;4663;COMERCIO DE MATERIALES DE CONSTRUCCION;COMERCIO;Verde;1322;Bogota, D.C.;31/12/2019;CAMPAÑA_COMERCIA;NO;COP; $ 10.248.853 ; $ - ; $ 10.248.853 ;; $ 55.637.590 ; $ 58.419.470 ;BAJO;1,18;CORPORATIVO
C;45;4520;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;62;Bogota, D.C.;31/12/2019;OP.PLAZO;NO;COP; $ 15.000.000 ; $ 40.000.000 ;-$ 25.000.000 ; $ 21.656.993 ; $ 5.768.216 ; $ 1.108.000 ;BAJO;1,26;CORPORATIVO
N;46;8610;SERVICIOS DE SALUD;SERVICIOS;Verde;1735;Bogota, D.C.;31/01/2020;CAMPAÑA_COMERCIA;NO;COP; $ 100.000.000 ; $ 100.000.000 ; $ - ; $ 53.458.676 ; $ 16.200.300 ; $ 17.639.600 ;ALTO;4,25;CORPORATIVO
C;49;4711;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;220;Bogota, D.C.;31/03/2020;CAPITAL_TRABAJO;SI;COP; $ 15.000.000 ; $ 1.185.875 ; $ 13.814.125 ; $ 1.185.875 ; $ 120.859.818 ; $ 73.409.300 ;ALTO;4,43;CORPORATIVO
N;50;4754;ELECTRODOMESTICOS (PRODUCCION Y COMERCIALIZACION);OTROS;Verde;1881;Cali;31/08/2019;CAMPAÑA_COMERCIA;NO;COP; $ 45.731.500 ; $ - ; $ 45.731.500 ;; $ 3.699.120 ; $ 24.177.792 ;MEDIO;3,29;CORPORATIVO
N;51;9499;OTRAS ORGANIZACIONES;OTROS;Naranja2;469;Piedecuesta;30/09/2019;CAMPAÑA_COMERCIA;NO;COP; $ 93.166.000 ; $ - ; $ 93.166.000 ;; $ 13.367.150 ; $ 11.957.920 ;ALTO;3,43;CORPORATIVO
N;52;4759;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;1158;Bogota, D.C.;31/05/2020;OP.PLAZO;SI;COP; $ 200.000.000 ; $ - ; $ 200.000.000 ;; $ 2.265.096 ; $ 2.378.351 ;BAJO;0,50;CORPORATIVO
N;54;5511;HOTELERIA;INDUSTRIA;Rojo;1340;Medellin;31/07/2020;CAPITAL_TRABAJO;SI;COP; $ 10.000.000 ; $ 5.000.000 ; $ 5.000.000 ; $ 4.341.261 ; $ 13.756.100 ; $ 203.315.172 ;ALTO;3,69;CORPORATIVO
N;55;4723;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;804;Puerto Gaitan;31/07/2020;CAMPAÑA_COMERCIA;SI;COP; $ 28.556.222 ; $ - ; $ 28.556.222 ;; $ 187.310.450 ; $ 230.249.700 ;ALTO;5,45;CORPORATIVO
N;56;7310;AGENCIAS DE PUBLICIDAD;OTROS;Naranja2;1591;Bogota, D.C.;31/05/2020;CAPITAL_TRABAJO;SI;COP; $ 10.000.000 ; $ 30.000.000 ;-$ 20.000.000 ; $ 10.047.472 ; $ 160.424.087 ; $ 300.448.745 ;ALTO;5,08;CORPORATIVO
N;57;4719;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;1385;Bogota, D.C.;30/09/2020;CAMPAÑA_COMERCIA;NO;COP; $ 1.000 ; $ - ; $ 1.000 ;; $ 193.761.838 ; $ 203.449.930 ;BAJO;1,35;CORPORATIVO
N;60;4771;COMERCIO TEXTILES Y CONFECCIONES;COMERCIO;Naranja1;1569;Bogota, D.C.;30/09/2020;CAMPAÑA_COMERCIA;SI;COP; $ 6.500.000 ; $ - ; $ 6.500.000 ;; $ 1.672.705 ; $ 5.287.065 ;MEDIO;3,82;CORPORATIVO
N;61;3313;SERVICIOS DE REPARACION Y MANTENIMIENTO;SERVICIOS;Amarillo;1926;Bogota, D.C.;31/10/2020;CAPITAL_TRABAJO;SI;COP; $ 250.000.000 ; $ 50.000.000 ; $ 200.000.000 ; $ 8.463.885 ; $ 1.999.511 ; $ 2.099.487 ;BAJO;0,43;CORPORATIVO
N;62;8699;SERVICIOS DE SALUD;SERVICIOS;Verde;1155;Bogota, D.C.;31/10/2020;CAMPAÑA_COMERCIA;NO;COP; $ 271.850.000 ; $ - ; $ 271.850.000 ;; $ 523.102.436 ; $ 710.819.525 ;ALTO;4,93;CORPORATIVO
N;63;4620;COMERCIO INSUMOS AGROPECUARIOS  Y MATERIAS PRIMAS AGROPECUARIAS;COMERCIO;Verde;970;Ibague;30/11/2019;CAPITAL_TRABAJO;SI;COP; $ - ; $ - ; $ - ;; $ 745.826.385 ; $ 2.327.328.171 ;ALTO;5,31;CORPORATIVO
N;64;4773;COMERCIO PRODUCTOS FARMACEUTICOS;COMERCIO;Verde;1509;Medellin;31/10/2020;OP.PLAZO;SI;COP; $ 4.324.000 ; $ 446.224 ; $ - ; $ 446.224 ; $ 1.560.000 ; $ 1.638.000 ;BAJO;0,50;CORPORATIVO
N;65;4663;COMERCIO DE MATERIALES DE CONSTRUCCION;COMERCIO;Verde;1166;Bogota, D.C.;31/05/2020;OP. MESA DE DINERO;SI;COP; $ 80.000.000 ; $ - ; $ 80.000.000 ;; $ 367.884.513 ; $ 274.813.959 ;ALTO;3,42;CORPORATIVO
C;67;9609;INVERSIONISTA;OTROS;Naranja1;619;Villa del rosario;31/12/2020;OP.PLAZO;NO;COP; $ 227.052.000 ; $ 263.450.000 ; $ - ; $ 142.742.411 ; $ 1.526.135.924 ; $ 1.211.620.649 ;ALTO;4,25;CORPORATIVO
N;68;4631;PRODUCTOS ALIMENTICIOS;INDUSTRIA;Verde;1409;Floridablanca;31/12/2020;CAPITAL_TRABAJO;SI;COP; $ 60.000.000 ; $ 65.851.357 ;-$ 5.851.357 ; $ 13.180.410 ; $ 3.349.178.830 ; $ 13.142.868.896 ;ALTO;5,03;CORPORATIVO
C;69;4530;AUTOPARTES (PRODUCCION Y COMERCIALIZACION);OTROS;Amarillo;588;Sevilla;31/10/2020;OP.PLAZO;NO;COP; $ 122.000.000 ; $ 242.700.000 ; $ - ; $ 1.916.493 ; $ 96.321.040 ; $ 141.284.958 ;ALTO;5,38;CORPORATIVO
N;70;8512;EDUCACION;EDUCACION;Naranja1;1874;Galapa;31/01/2021;OP.PLAZO;NO;COP; $ 70.000.000 ; $ 70.000.000 ; $ - ; $ 41.999.981 ; $ 18.504.680 ; $ 30.208.700 ;ALTO;3,78;CORPORATIVO
N;71;4773;COMERCIO PRODUCTOS FARMACEUTICOS;COMERCIO;Verde;462;Pamplona;31/12/2020;CAMPAÑA_COMERCIA;NO;COP; $ 39.958.350 ; $ 16.968.599 ; $ 22.989.751 ;; $ 38.262.025 ; $ 59.280.050 ;ALTO;4,69;CORPORATIVO
N;72;5511;HOTELERIA;INDUSTRIA;Rojo;1317;Bogota, D.C.;31/01/2021;CAPITAL_TRABAJO;SI;COP; $ 239.000.000 ; $ 74.000.000 ; $ 165.000.000 ; $ 2.601.801 ; $ 218.573.418 ; $ 510.617.218 ;ALTO;4,92;CORPORATIVO
C;73;4711;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;2057;Chia;28/02/2021;OP.PLAZO;SI;COP; $ 200.000.000 ; $ - ; $ 200.000.000 ;; $ 2.599.603.121 ; $ 3.172.910.276 ;ALTO;5,04;CORPORATIVO
N;74;4649;ARTICULOS VARIOS HOGAR (INCLUYE JUGUETERIA);OTROS;Verde;1929;Cali;31/07/2021;CAMPAÑA_COMERCIA;NO;COP; $ 61.000.000 ; $ 47.492.762 ; $ 13.507.238 ; $ 15.805.468 ; $ 147.204.102 ; $ 289.305.316 ;ALTO;5,20;CORPORATIVO
N;75;4649;ARTICULOS VARIOS HOGAR (INCLUYE JUGUETERIA);OTROS;Verde;1929;Cali;31/07/2021;CAPITAL_TRABAJO;SI;COP; $ 15.000.000 ; $ 10.000.000 ; $ 5.000.000 ; $ - ; $ 147.204.102 ; $ 289.305.316 ;ALTO;5,20;CORPORATIVO
N;76;4663;COMERCIO DE MATERIALES DE CONSTRUCCION;COMERCIO;Verde;397;Sogamoso;31/10/2020;CAMPAÑA_COMERCIA;SI;COP; $ 21.449.144 ; $ - ; $ 21.449.144 ;; $ 106.839.533 ; $ 181.174.015 ;ALTO;5,49;CORPORATIVO
N;77;8544;EDUCACION;EDUCACION;Naranja1;1723;Bogota, D.C.;30/09/2020;CONTINGENCIA_GARANTIAS;SI;COP; $ 2.000.000.000 ; $ - ; $ 2.000.000.000 ;; $ 1.920.399.085 ; $ 1.024.580.607 ;ALTO;5,35;CORPORATIVO
N;78;1410;CONFECCIONES;OTROS;Naranja1;1160;Bogota, D.C.;31/05/2021;OP.PLAZO;NO;COP; $ 49.721.000 ; $ 149.721.000 ;-$ 100.000.000 ; $ 53.242.440 ; $ 105.278.000 ; $ 238.520.900 ;ALTO;4,75;CORPORATIVO
N;79;8551;EDUCACION;EDUCACION;Naranja1;972;Cali;31/03/2021;OP.PLAZO;NO;COP; $ 13.888.000 ; $ 20.000.000 ; $ - ; $ 3.612.963 ; $ 41.835.000 ; $ 94.364.020 ;ALTO;5,05;CORPORATIVO
N;80;4659;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;1291;Bogota, D.C.;31/07/2021;CAMPAÑA_COMERCIA;NO;COP; $ 9.736.387 ; $ - ; $ 9.736.387 ;; $ 40.167.750 ; $ 41.038.139 ;ALTO;3,41;CORPORATIVO
C;81;4752;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;817;Popayan;30/06/2021;CAMPAÑA_COMERCIA;SI;COP; $ 75.000.000 ; $ - ; $ 75.000.000 ;; $ 1.016.830.135 ; $ 1.554.425.187 ;ALTO;4,99;CORPORATIVO
N;82;4620;COMERCIO INSUMOS AGROPECUARIOS  Y MATERIAS PRIMAS AGROPECUARIAS;COMERCIO;Verde;601;Bogota, D.C.;30/04/2021;OP.PLAZO;NO;COP; $ - ; $ - ; $ - ;; $ 51.665.452 ; $ 102.094.756 ;ALTO;5,54;CORPORATIVO
N;83;4752;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;836;Ibague;31/05/2021;OP.PLAZO;NO;COP; $ 30.000.000 ; $ - ; $ 30.000.000 ;; $ 412.197.483 ; $ 611.911.067 ;ALTO;5,46;CORPORATIVO
C;84;10;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;633;Pereira;31/01/2021;OP.PLAZO;NO;COP; $ 205.808.000 ; $ 229.659.779 ; $ - ; $ 139.795.274 ; $ 98.081.788 ; $ 102.985.877 ;BAJO;0,50;CORPORATIVO
N;85;4649;COMERCIO EN GENERAL AL POR MAYOR;COMERCIO;Verde;170;Bogota, D.C.;30/06/2021;CAPITAL_TRABAJO;SI;COP; $ 430.000.000 ; $ 35.000.000 ; $ 157.934.609 ; $ 18.641.779 ; $ 454.282.038 ; $ 311.079.760 ;ALTO;4,49;CORPORATIVO
N;86;4541;COMERCIO EQUIPO DE TRANSPORTE (INCLUYE CONCESIONARIOS AUTOMOTORES);COMERCIO;Amarillo;1191;Bogota, D.C.;31/07/2021;CAMPAÑA_COMERCIA;NO;COP; $ 45.000.000 ; $ - ; $ 45.000.000 ;; $ 1.829.635.704 ; $ 2.179.874.588 ;ALTO;4,81;CORPORATIVO
N;87;4752;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;1229;Cota;28/02/2021;CAMPAÑA_COMERCIA;NO;COP; $ - ; $ - ; $ - ;; $ 451.339.727 ; $ 479.636.877 ;ALTO;4,98;CORPORATIVO
C;88;10;SERVICIOS DE SALUD;SERVICIOS;Verde;1053;Armenia;31/05/2021;OP.PLAZO;SI;COP; $ 471.500.000 ; $ 155.555.555 ; $ 315.944.445 ; $ 155.555.555 ; $ 662.766.050 ; $ 1.020.704.601 ;ALTO;4,92;CORPORATIVO
C;90;8621;SERVICIOS DE SALUD;SERVICIOS;Verde;1056;Piedecuesta;30/09/2021;CAMPAÑA_COMERCIA;NO;COP; $ 39.350.000 ; $ - ; $ 39.350.000 ;; $ 344.727.051 ; $ 409.827.628 ;ALTO;4,07;CORPORATIVO
N;91;4659;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;1523;Neiva;30/09/2021;CAMPAÑA_COMERCIA;NO;COP; $ 33.917.267 ; $ - ; $ 33.917.267 ;; $ 161.319.659 ; $ 132.654.390 ;ALTO;4,40;CORPORATIVO
C;93;4731;COMBUSTIBLES LUBRICANTES (PRODUCCION Y COMERCIALIZACION);COMERCIO;Verde;993;Villanueva;31/10/2021;CAPITAL_TRABAJO;SI;COP; $ 240.000.000 ; $ 313.547.991 ;-$ 73.547.991 ; $ 209.584.004 ; $ 3.062.631 ; $ 6.449.515 ;ALTO;4,59;CORPORATIVO
N;94;4641;COMERCIO TEXTILES Y CONFECCIONES;COMERCIO;Naranja1;1167;Bogota, D.C.;30/09/2021;OP. MESA DE DINERO;SI;COP; $ - ; $ - ; $ - ;; $ - ; $ 298.375.629 ;MEDIO;3,20;CORPORATIVO
N;95;4659;COMERCIO EN GENERAL AL POR MAYOR;COMERCIO;Verde;2016;Bogota, D.C.;30/06/2021;CAMPAÑA_COMERCIA;SI;COP; $ 56.079.000 ; $ - ; $ 56.079.000 ;; $ 200 ; $ 21.855.001 ;BAJO;1,42;CORPORATIVO
C;96;6810;ACTIVIDADES INMOBILIARIAS;OTROS;Naranja2;1029;Cali;31/12/2020;CAPITAL_TRABAJO;SI;COP; $ 100.000 ; $ 100.000 ; $ - ; $ - ; $ 16.121.000 ; $ 22.655.000 ;MEDIO;3,78;CORPORATIVO
C;97;6810;ACTIVIDADES INMOBILIARIAS;OTROS;Naranja2;1029;Cali;31/12/2020;OP.PLAZO;SI;COP; $ 5.000.000 ; $ 20.800.000 ; $ - ; $ - ; $ 16.121.000 ; $ 22.655.000 ;MEDIO;3,78;CORPORATIVO
C;98;5611;COMIDAS RAPIDAS Y RESTAURANTES;OTROS;Rojo;2057;Chia;31/12/2021;CAMPAÑA_COMERCIA;NO;COP; $ 30.860.250 ; $ - ; $ 30.860.250 ;; $ 266.953.870 ; $ 471.080.748 ;ALTO;4,51;CORPORATIVO
N;99;4773;COMERCIO PRODUCTOS FARMACEUTICOS;COMERCIO;Verde;540;San Andres;30/09/2021;OP.PLAZO;NO;COP; $ - ; $ - ; $ - ;; $ 491.221.300 ; $ 2.057.821.750 ;ALTO;5,29;CORPORATIVO
N;101;4752;COMERCIO EN GENERAL AL POR MENOR;COMERCIO;Verde;1173;Bogota, D.C.;31/10/2021;CAPITAL_TRABAJO;SI;COP; $ 40.000.000 ; $ 30.000.000 ; $ 10.000.000 ; $ - ; $ 148.323.789 ; $ 790.421.972 ;ALTO;5,28;CORPORATIVO
N;102;1011;PRODUCTOS CARNICOS;INDUSTRIA;Verde;269;Libano;31/12/2020;OP.PLAZO;NO;COP; $ - ; $ 165.000.000 ; $ - ;; $ 12.431.939 ; $ 13.053.536 ;MEDIO;2,36;CORPORATIVO
N;103;1081;PANADERIA Y PASTAS;OTROS;Verde;277;Pereira;31/12/2020;CAMPAÑA_COMERCIA;NO;COP; $ 76.329.000 ; $ 44.565.813 ; $ 31.763.187 ; $ 41.840.960 ; $ 5.123.000 ; $ 5.569.720 ;ALTO;4,89;CORPORATIVO
N;104;4641;COMERCIO TEXTILES Y CONFECCIONES;COMERCIO;Naranja1;1288;Cali;31/08/2021;CAPITAL_TRABAJO;SI;COP; $ 262.541.000 ; $ 22.000.005 ; $ 84.514.716 ; $ 6.985.011 ; $ 1.963.150 ; $ 241.367.615 ;MEDIO;3,50;CORPORATIVO
C;105;4641;COMERCIO TEXTILES Y CONFECCIONES;COMERCIO;Naranja1;2007;Cali;31/03/2021;OP.PLAZO;NO;COP; $ 261.306.000 ; $ 275.000.000 ; $ - ; $ 261.305.792 ; $ 50.775.460 ; $ 150.531.910 ;ALTO;4,55;CORPORATIVO
